"","p1","v1","p2","v2","meq"
"1",90,0,10,50,9
"2",50,0,50,50,21
"3",10,0,90,50,37
"4",90,0,10,-50,-8
"5",50,0,50,-50,-21
"6",10,0,90,-50,-39
"7",95,0,5,100,14
"8",75,0,25,100,25
"9",50,0,50,100,36
"10",25,0,75,100,52
"11",5,0,95,100,78
"12",95,0,5,-100,-8
"13",75,0,25,-100,-23.5
"14",50,0,50,-100,-42
"15",25,0,75,-100,-63
"16",5,0,95,-100,-84
"17",99,0,1,200,10
"18",90,0,10,200,20
"19",50,0,50,200,76
"20",10,0,90,200,131
"21",1,0,99,200,188
"22",99,0,1,-200,-3
"23",90,0,10,-200,-23
"24",50,0,50,-200,-89
"25",10,0,90,-200,-155
"26",1,0,99,-200,-190
"27",99,0,1,400,12
"28",1,0,99,400,377
"29",99,0,1,-400,-14
"30",1,0,99,-400,-380
"31",90,50,10,100,59
"32",50,50,50,100,71
"33",10,50,90,100,83
"34",90,-50,10,-100,-59
"35",50,-50,50,-100,-71
"36",10,-50,90,-100,-85
"37",95,50,5,150,64
"38",75,50,25,150,72.5
"39",50,50,50,150,86
"40",25,50,75,150,102
"41",5,50,95,150,128
"42",95,-50,5,-150,-60
"43",75,-50,25,-150,-71
"44",50,-50,50,-150,-92
"45",25,-50,75,-150,-113
"46",5,-50,95,-150,-132
"47",95,100,5,200,118
"48",75,100,25,200,130
"49",50,100,50,200,141
"50",25,100,75,200,162
"51",5,100,95,200,178
"52",95,-100,5,-200,-112
"53",75,-100,25,-200,-121
"54",50,-100,50,-200,-142
"55",25,-100,75,-200,-158
"56",5,-100,95,-200,-179
