"","p1","v1","p2","v2","meq"
"1",99,25,1,0,20
"2",1,25,99,0,4
"3",95,25,5,0,15
"4",5,25,95,0,5
"5",90,25,10,0,15
"6",10,25,90,0,10
"7",75,25,25,0,15
"8",25,25,75,0,10
"9",50,25,50,0,13
"10",99,-25,1,0,-20
"11",1,-25,99,0,-5
"12",95,-25,5,0,-19
"13",5,-25,95,0,-11
"14",90,-25,10,0,-15
"15",10,-25,90,0,-10
"16",75,-25,25,0,-15
"17",25,-25,75,0,-10
"18",50,0,50,-25,-10
"19",99,50,1,0,45
"20",1,50,99,0,10
"21",95,50,5,0,45
"22",5,50,95,0,10
"23",90,50,10,0,35
"24",10,50,90,0,10
"25",75,50,25,0,40
"26",25,50,75,0,15
"27",50,50,50,0,25
"28",99,-50,1,0,-40
"29",1,-50,99,0,-5
"30",95,-50,5,0,-43
"31",5,-50,95,0,-15
"32",90,-50,10,0,-40
"33",10,-50,90,0,-10
"34",75,-50,25,0,-35
"35",25,-50,75,0,-15
"36",50,0,50,-50,-25
"37",99,75,1,0,65
"38",1,75,99,0,10
"39",95,75,5,0,69
"40",5,75,95,0,20
"41",90,75,10,0,65
"42",10,75,90,0,20
"43",75,75,25,0,50
"44",25,75,75,0,25
"45",50,75,50,0,50
"46",99,-75,1,0,-65
"47",1,-75,99,0,-10
"48",95,-75,5,0,-60
"49",5,-75,95,0,-10
"50",90,-75,10,0,-65
"51",10,-75,90,0,-10
"52",75,-75,25,0,-50
"53",25,-75,75,0,-10
"54",50,0,50,-75,-38
"55",99,100,1,0,90
"56",1,100,99,0,15
"57",95,100,5,0,80
"58",5,100,95,0,10
"59",90,100,10,0,90
"60",10,100,90,0,15
"61",75,100,25,0,55
"62",25,100,75,0,25
"63",50,100,50,0,50
"64",99,-100,1,0,-90
"65",1,-100,99,0,-10
"66",95,-100,5,0,-90
"67",5,-100,95,0,-10
"68",90,-100,10,0,-90
"69",10,-100,90,0,-10
"70",75,-100,25,0,-75
"71",25,-100,75,0,-20
"72",50,0,50,-100,-50
"73",99,150,1,0,145
"74",1,150,99,0,10
"75",95,150,5,0,140
"76",5,150,95,0,15
"77",90,150,10,0,135
"78",10,150,90,0,35
"79",75,150,25,0,120
"80",25,150,75,0,35
"81",50,150,50,0,100
"82",99,-150,1,0,-145
"83",1,-150,99,0,-10
"84",95,-150,5,0,-140
"85",5,-150,95,0,-10
"86",90,-150,10,0,-140
"87",10,-150,90,0,-15
"88",75,-150,25,0,-110
"89",25,-150,75,0,-50
"90",50,0,50,-150,-75
"91",99,-25,1,25,-20
"92",1,-25,99,25,15
"93",95,-25,5,25,-17
"94",5,-25,95,25,10
"95",90,-25,10,25,-15
"96",10,-25,90,25,20
"97",75,-25,25,25,-10
"98",25,-25,75,25,10
"99",50,-25,50,25,5
"100",99,50,1,25,40
"101",1,50,99,25,31
"102",95,50,5,25,40
"103",5,50,95,25,31
"104",90,50,10,25,41
"105",10,50,90,25,34
"106",75,50,25,25,40
"107",25,50,75,25,35
"108",50,25,50,50,38
"109",99,-50,1,25,-40
"110",1,-50,99,25,19
"111",95,-50,5,25,-30
"112",5,-50,95,25,10
"113",90,-50,10,25,-40
"114",10,-50,90,25,10
"115",75,-50,25,25,-30
